PUMA_CommunityDistrict,PUMA_neighborhoods
Bronx Community District 8,"Riverdale, Fieldston & Kingsbridge PUMA"
Bronx Community District 12,"Wakefield, Williamsbridge & Woodlawn PUMA"
Bronx Community District 10,"Co-op City, Pelham Bay & Schuylerville PUMA"
Bronx Community District 11,"Pelham Parkway, Morris Park & Laconia PUMA"
Bronx Community District 3 & 6,"Belmont, Crotona Park East & East Tremont PUMA"
Bronx Community District 7,"Bedford Park, Fordham North & Norwood PUMA"
Bronx Community District 5,"Morris Heights, Fordham South & Mount Hope PUMA"
Bronx Community District 4,"Concourse, Highbridge & Mount Eden PUMA"
Bronx Community District 9,"Castle Hill, Clason Point & Parkchester PUMA"
Bronx Community District 1 & 2,"Hunts Point, Longwood & Melrose PUMA"
Manhattan Community District 12,"Washington Heights, Inwood & Marble Hill PUMA"
Manhattan Community District 9,"Hamilton Heights, Manhattanville & West Harlem PUMA"
Manhattan Community District 10,Central Harlem PUMA
Manhattan Community District 11,East Harlem PUMA
Manhattan Community District 8,Upper East Side PUMA
Manhattan Community District 7,Upper West Side & West Side PUMA
Manhattan Community District 4 & 5,"Chelsea, Clinton & Midtown Business District PUMA"
Manhattan Community District 6,"Murray Hill, Gramercy & Stuyvesant Town PUMA"
Manhattan Community District 3,Chinatown & Lower East Side PUMA
Manhattan Community District 1 & 2,"Battery Park City, Greenwich Village & Soho PUMA"
Staten Island Community District 3,"Tottenville, Great Kills & Annadale PUMA"
Staten Island Community District 2,New Springville & South Beach PUMA
Staten Island Community District 1,"Port Richmond, Stapleton & Mariner's Harbor PUMA"
Brooklyn Community District 1,Greenpoint & Williamsburg PUMA
Brooklyn Community District 4,Bushwick PUMA
Brooklyn Community District 3,"Bedford-Stuyvesant PUMA,"
Brooklyn Community District 2,Brooklyn Heights & Fort Greene PUMA
Brooklyn Community District 6,"Park Slope, Carroll Gardens & Red Hook PUMA"
Brooklyn Community District 8,Crown Heights North & Prospect Heights PUMA
Brooklyn Community District 16,Brownsville & Ocean Hill PUMA
Brooklyn Community District 5,East New York & Starrett City PUMA
Brooklyn Community District 18,Canarsie & Flatlands PUMA
Brooklyn Community District 17,"East Flatbush, Farragut & Rugby PUMA"
Brooklyn Community District 9,"Crown Heights South, Prospect Lefferts & Wingate PUMA"
Brooklyn Community District 7,Sunset Park & Windsor Terrace PUMA
Brooklyn Community District 10,Bay Ridge & Dyker Heights PUMA
Brooklyn Community District 12,"Borough Park, Kensington & Ocean Parkway PUMA"
Brooklyn Community District 14,Flatbush & Midwood PUMA
Brooklyn Community District 15,"Sheepshead Bay, Gerritsen Beach & Homecrest PUMA"
Brooklyn Community District 11,Bensonhurst & Bath Beach PUMA
Brooklyn Community District 13,Brighton Beach & Coney Island PUMA
Queens Community District 1,Astoria & Long Island City PUMA
Queens Community District 3,Jackson Heights & North Corona PUMA
Queens Community District 7,"Flushing, Murray Hill & Whitestone PUMA"
Queens Community District 11,"Bayside, Douglaston & Little Neck PUMA"
Queens Community District 13,"Queens Village, Cambria Heights & Rosedale PUMA"
Queens Community District 8,"Briarwood, Fresh Meadows & Hillcrest PUMA"
Queens Community District 4,Elmhurst & South Corona PUMA
Queens Community District 6,Forest Hills & Rego Park PUMA
Queens Community District 2,Sunnyside & Woodside PUMA
Queens Community District 5,"Ridgewood, Glendale & Middle Village PUMA"
Queens Community District 9,Richmond Hill & Woodhaven PUMA
Queens Community District 12,"Jamaica, Hollis & St. Albans PUMA"
Queens Community District 10,Howard Beach & Ozone Park PUMA
Queens Community District 14,"Far Rockaway, Breezy Point & Broad Channel PUMA"
