,tract,entropy_index_9,entropy_index_0,entropy_index_1,inc_9,rent_9,inc_0,rent_0,inc_1,rent_1,r_units_9,r_units_0,r_units_1,ratio_rent_inc_9,ratio_rent_inc_0,ratio_rent_inc_1,entropy_9_0,rent_9_0,inc_9_0,rent_units_9_0,rent_burden_9_0,entropy_0_1,rent_0_1,inc_0_1,rent_units_0_1,rent_burden_0_1,rich_9,rich_0,rich_1,rich_all
0,36005000200,0.7930730199694961,0.7816395307168824,0.9052412643177724,0.37768315155137205,0.7119700748129676,0.32422371452701315,0.437448896156991,0.2771048025316749,0.5727699530516432,0.10503040353786622,0.11560044893378227,0.17263097623819065,0.46300203953841923,0.29674466268048105,0.4353683720750973,0.46451943204004625,0.2265474551820142,0.38888570743822976,0.38400552921508446,0.17005303397822932,0.6337392250220107,0.710825605693628,0.3265299624949489,0.19281632086443698,0.6498183174113773,2.0,2.0,2.0,2.0
1,36005000400,0.8875584682631491,0.8978515553139508,0.9318789845226724,0.3997584541062802,0.4538653366583541,0.24388524012168022,0.36631234668847096,0.36276907739923725,0.6062206572769953,0.05804311774461028,0.13383838383838384,0.16690523904952762,0.25551231712865696,0.3400310569214497,0.34899152155253277,0.48241302587754864,0.38351627868294824,0.21105936969693367,0.949193384792235,0.48953114396398717,0.5888097968190538,0.8736279974101594,0.656090736427854,0.15848445568685687,0.46365071514346984,2.0,3.0,2.0,2.0
2,36005001600,0.8664691492098913,0.9024340721744811,0.8332353430859684,0.20363314906120822,0.36783042394014964,0.1543879500487869,0.29681112019623873,0.133289670441768,0.3086854460093897,0.40298507462686567,0.42312008978675647,0.4537646722015459,0.4516493484433196,0.4345086277732626,0.5000632637928354,0.5021325591579809,0.3803168386548952,0.33217414472070617,0.3557457639878456,0.34144027307359126,0.5119395824651279,0.575944121703957,0.30889807541242015,0.13028288973690633,0.5484993540891426,4.0,4.0,4.0,4.0
3,36005001900,0.4086525743697018,0.7321627586236483,0.5999138044517976,0.2047661736142238,0.31296758104738154,0.10164071532236243,0.21749795584627965,0.08653946468522146,0.3362676056338028,0.09756771697070205,0.09175084175084175,0.1354136845118809,0.3874556908747974,0.46554544179838986,0.7287806264774455,0.8159660361495653,0.3047213984057731,0.17565965492325736,0.30934263641874205,0.45982353056518344,0.4075953819137587,0.7827319695424656,0.28925302771991424,0.19206187401906058,0.7715779584886936,4.0,4.0,4.0,4.0
4,36005002000,0.6991197095836521,0.6424409800085367,0.7613395364931678,0.12930175805568006,0.15835411471321695,0.06903139579694816,0.0580539656582175,0.11742033454275679,0.09272300469483569,0.7092316196793809,0.7272727272727273,0.7403378184941312,0.34851353046576244,0.2683817163956569,0.2676112784932057,0.4241171111266459,0.16088508191781642,0.2327062378143586,0.3434489415847607,0.24387824175840936,0.5971135582449016,0.6941190734246424,0.5426438230115405,0.12188887334297181,0.4289591066191048,4.0,4.0,4.0,4.0
5,36005002300,0.5315630498356069,0.5787142869168698,0.6262974203564278,0.08481498082573834,0.018703241895261846,0.07331972220172353,0.027800490596892886,0.056707663417065624,0.036384976525821594,0.4847982310668878,0.45931537598204264,0.49556255367878616,0.22172208043638775,0.1963842030315802,0.33627399330324853,0.5165986023036202,0.4046192503155187,0.3997515906263556,0.3069921346809611,0.29845622885059736,0.5128183661779755,0.6224762242424521,0.2525832296367716,0.13101252678989087,0.6705036909503272,4.0,4.0,4.0,4.0
6,36005002500,0.2847304190331872,0.43528508625641793,0.4927459907932195,0.017804671547387817,0.13092269326683292,0.03597110504349822,0.11856091578086672,0.03761577428217047,0.1602112676056338,0.4615809839690437,0.4674523007856341,0.5004294302891498,0.7758614149903771,0.5393180230781726,0.7121755953295876,0.6473144380007856,0.40512409104632124,0.5576770262069976,0.3379326752685029,0.18608040074406382,0.4692638868266088,0.6770381650824024,0.2953239609415523,0.12982589600417893,0.6612150526243872,4.0,4.0,4.0,4.0
7,36005002701,0.40392391307427344,0.4751945420828594,0.51737929174988,0.0215648189650879,0.026184538653366583,0.014775457325822612,0.056418642681929684,0.08526435369260552,0.142018779342723,0.24875621890547264,0.27413019079685746,0.2882908674491841,0.4569124383517461,0.48909180266517827,0.42395302660611744,0.5456795176877237,0.5081536701909468,0.3775291152604791,0.38128889022551726,0.39935984664348306,0.469647186251379,0.8602050268887723,0.7334872324323194,0.12856304952998107,0.4099710489167048,4.0,4.0,4.0,4.0
9,36005002800,0.9400179354372901,0.9789408245924336,0.9716487169820502,0.3446760296827531,0.314214463840399,0.22280438508023187,0.3197056418642682,0.2629278866774085,0.323943661971831,0.6160862354892206,0.617564534231201,0.5886057829945606,0.2037617890476708,0.32568482443063057,0.27754725208211106,0.5037124231086662,0.5155994742318323,0.24253115397772743,0.3326894434825999,0.5722686729406706,0.5763230105527596,0.5628509943899094,0.48536611347938546,0.11316183965941116,0.3785438185931201,3.0,3.0,3.0,3.0
10,36005003100,0.5215821201983296,0.6458416049423732,0.8626761233708303,0.10425070969669804,0.20947630922693267,0.14012905976598694,0.34423548650858543,0.1613595001564909,0.34917840375586856,0.059425096738529574,0.13580246913580246,0.11422845691382766,0.5003384403500736,0.539592548256697,0.46919164694978444,0.5922426651124136,0.8264293175608739,0.6149176682542867,0.9396251122530808,0.4067535614872027,0.6855326430683244,0.562473064383151,0.43303894060509246,0.10318843696218691,0.41677955494919583,4.0,4.0,4.0,4.0
