,census_tract,lat,lon,ZCTA5,pop9,median_fam_inc_9,median_hh_inc_9,median_house_value_9,median_rent_9,median_fam_inc_0,median_hh_inc_0,median_house_value_0,median_rent_0,median_fam_inc_1,median_hh_inc_1,median_house_value_1,median_rent_1,rent_units_9,rent_units_0,rent_units_1
0,36005000100,40.7934921,-73.8835318,11370.0,14303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,36005000200,40.804573299999994,-73.8568585,10473.0,2907,38711,31632,136500,742,50817,42539,147500,730,58368,59826,392500,1273,384,421,635
2,36005000400,40.8089152,-73.8504884,10473.0,2260,40484,36506,163234,535,41019,39111,157610,643,73148,71968,393700,1330,214,486,615
3,36005001600,40.81884779999999,-73.8580764,10473.0,5254,24732,22739,156800,466,30104,24552,177000,558,33555,30355,378100,823,1462,1517,1617
4,36005001900,40.800999,-73.90937290000001,10454.0,1575,24823,11215,48868,422,23671,22772,145960,461,25489,25093,0,870,357,336,505
5,36005002000,40.8175801,-73.8660962,10473.0,9110,18762,14765,185400,298,19694,14691,177600,266,30817,24939,398100,455,2570,2601,2618
6,36005002300,40.8090843,-73.92584609999999,10454.0,4577,15189,7925,0,186,20217,14112,0,229,20342,13756,0,359,1758,1646,1763
7,36005002400,40.8157533,-73.8711124,10473.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,36005002500,40.8070029,-73.9208781,10454.0,5572,9807,8246,87500,276,15662,12221,99100,340,17048,15207,381300,570,1674,1675,1780
9,36005002701,40.805051399999996,-73.9163293,10454.0,3004,10109,8128,0,192,13077,12898,0,264,25269,19450,0,539,904,986,1039
10,36005002702,40.8064374,-73.913737,10454.0,3930,6540,7140,0,284,12042,12654,162500,332,21140,19300,350000,592,1144,1229,1215
11,36005002800,40.8225183,-73.87823359999999,10473.0,5964,36060,33557,151600,423,38448,34234,155300,586,55922,44036,262000,849,2233,2210,2088
12,36005003100,40.8098763,-73.9056946,10455.0,674,16750,15375,0,339,28365,27330,0,616,38398,33603,115600,892,219,493,431
13,36005003300,40.8082226,-73.91192459999999,10454.0,3357,8723,7955,0,268,11420,11322,163800,277,17034,16021,335700,453,915,847,977
14,36005003500,40.810965100000004,-73.9086696,10455.0,2879,16042,14408,0,318,20122,18736,158700,417,27682,20403,0,658,1027,1066,1227
15,36005003700,40.8114424,-73.912187,10455.0,87,14038,14405,0,575,24300,23750,0,659,23884,23304,0,1188,25,154,110
16,36005003800,40.8202946,-73.8633435,10473.0,1068,43672,29187,143800,503,53705,47647,177700,711,56094,55625,472100,1179,254,271,287
17,36005003900,40.8097217,-73.9214264,10454.0,5202,15558,10918,100000,316,23006,15893,126100,389,31556,31566,467300,920,1699,1961,1827
18,36005004001,40.8282719,-73.8583355,10472.0,1380,32446,27788,193800,454,35156,29545,184900,636,45865,44432,361400,963,333,341,300
19,36005004100,40.8113856,-73.9194099,10454.0,6132,10933,8265,0,223,15000,12970,102500,269,20649,18272,237000,504,1791,1725,1863
20,36005004200,40.823930700000005,-73.8620059,10473.0,7759,25019,24538,111640,393,31572,29004,105836,493,42180,35816,211000,640,2370,2446,2401
21,36005004300,40.8136213,-73.91703759999999,10455.0,4643,12794,11318,32500,295,21956,19434,162900,367,23156,24594,423700,653,1350,1273,1408
22,36005004400,40.8265305,-73.8663677,10472.0,4964,16068,12832,195300,233,14346,13185,186700,239,22331,16086,641800,350,1493,1529,1592
23,36005004600,40.8224207,-73.8691745,10473.0,1251,30417,21906,0,323,22500,17976,0,361,41607,22146,87300,731,484,504,481
24,36005004800,40.82700429999999,-73.87432390000001,10472.0,4166,17188,15917,137500,410,15817,19023,172100,590,21908,25168,230600,924,1210,1061,1221
25,36005005001,40.824996999999996,-73.8778533,10472.0,4723,19052,17250,131800,443,20938,20385,178500,617,40345,28933,380400,1013,1369,1429,1325
26,36005005002,40.8273629,-73.878435,10472.0,5496,19052,17250,131800,443,20938,20385,178500,617,26269,26439,0,878,1595,1663,1692
27,36005005100,40.813308,-73.92738220000001,10451.0,6303,10987,9279,0,203,13469,12336,6094,226,22118,16283,0,463,1949,1830,1936
28,36005005200,40.825641600000004,-73.8824356,10472.0,2012,16831,13750,165000,347,20484,13826,196600,307,35673,33750,214600,781,713,690,713
29,36005005300,40.851772,-73.9221829,10453.0,1365,25833,21822,0,507,18567,15527,0,573,22576,14821,0,813,475,420,1639
30,36005005400,40.8298875,-73.8797806,10472.0,5616,21168,20308,175300,485,24335,21282,142500,636,35385,33672,446400,985,1345,1464,1481
31,36005005600,40.832611799999995,-73.8790757,10472.0,2404,24211,19016,112500,446,26544,12604,164300,634,42093,30402,460700,863,761,890,822
32,36005005902,40.824086,-73.9234467,10451.0,2727,31046,29583,0,494,30720,33256,0,708,41190,36098,157300,956,853,877,828
33,36005006000,40.8377032,-73.8780437,10460.0,1021,19202,23978,24564,406,27381,30207,187227,588,28309,27574,487500,940,334,339,330
34,36005006100,40.8222516,-73.92266690000001,10451.0,3449,38924,27890,0,410,34611,30469,187500,514,52792,37936,25100,743,1273,1138,925
35,36005006200,40.8332811,-73.8754495,10472.0,6855,15401,13778,126400,345,22217,16314,225000,410,21590,20952,505700,705,2283,2195,2254
